technique_id,technique_name,tactic
T1574.006,Dynamic Linker Hijacking,stealth|execution
T1574.007,Path Interception by PATH Environment Variable,stealth|execution
T1574.008,Path Interception by Search Order Hijacking,stealth|execution
T1574.009,Path Interception by Unquoted Path,stealth|execution
T1574.010,Services File Permissions Weakness,stealth|execution
T1574.011,Services Registry Permissions Weakness,stealth|execution
T1574.012,COR_PROFILER,stealth|execution
T1574.013,KernelCallbackTable,stealth|execution
T1574.014,AppDomainManager,stealth|execution
T1578,Modify Cloud Compute Infrastructure,defense-impairment
T1578.001,Create Snapshot,defense-impairment
T1578.002,Create Cloud Instance,defense-impairment
T1578.003,Delete Cloud Instance,defense-impairment
T1578.004,Revert Cloud Instance,defense-impairment
T1578.005,Modify Cloud Compute Configurations,defense-impairment
T1580,Cloud Infrastructure Discovery,discovery
T1583,Acquire Infrastructure,resource-development
T1583.001,Domains,resource-development
T1583.002,DNS Server,resource-development
T1583.003,Virtual Private Server,resource-development
T1583.004,Server,resource-development
T1583.005,Botnet,resource-development
T1583.006,Web Services,resource-development
T1583.007,Serverless,resource-development
T1583.008,Malvertising,resource-development
T1584,Compromise Infrastructure,resource-development
T1584.001,Domains,resource-development
T1584.002,DNS Server,resource-development
T1584.003,Virtual Private Server,resource-development
T1584.004,Server,resource-development
T1584.005,Botnet,resource-development
T1584.006,Web Services,resource-development
T1584.007,Serverless,resource-development
T1584.008,Network Devices,resource-development
T1585,Establish Accounts,resource-development
T1585.001,Social Media Accounts,resource-development
T1585.002,Email Accounts,resource-development
T1585.003,Cloud Accounts,resource-development
T1586,Compromise Accounts,resource-development
T1586.001,Social Media Accounts,resource-development
T1586.002,Email Accounts,resource-development
T1586.003,Cloud Accounts,resource-development
T1587,Develop Capabilities,resource-development
T1587.001,Malware,resource-development
T1587.002,Code Signing Certificates,resource-development
T1587.003,Digital Certificates,resource-development
T1587.004,Exploits,resource-development
T1588,Obtain Capabilities,resource-development
T1588.001,Malware,resource-development
T1588.002,Tool,resource-development
T1588.003,Code Signing Certificates,resource-development
T1588.004,Digital Certificates,resource-development
T1588.005,Exploits,resource-development
T1588.006,Vulnerabilities,resource-development
T1588.007,Artificial Intelligence,resource-development
T1589,Gather Victim Identity Information,reconnaissance
T1589.001,Credentials,reconnaissance
T1589.002,Email Addresses,reconnaissance
T1589.003,Employee Names,reconnaissance
T1590,Gather Victim Network Information,reconnaissance
T1590.001,Domain Properties,reconnaissance
T1590.002,DNS,reconnaissance
T1590.003,Network Trust Dependencies,reconnaissance
T1590.004,Network Topology,reconnaissance
T1590.005,IP Addresses,reconnaissance
T1590.006,Network Security Appliances,reconnaissance
T1591,Gather Victim Org Information,reconnaissance
T1591.001,Determine Physical Locations,reconnaissance
T1591.002,Business Relationships,reconnaissance
T1591.003,Identify Business Tempo,reconnaissance
T1591.004,Identify Roles,reconnaissance
T1592,Gather Victim Host Information,reconnaissance
T1592.001,Hardware,reconnaissance
T1592.002,Software,reconnaissance
T1592.003,Firmware,reconnaissance
T1592.004,Client Configurations,reconnaissance
T1593,Search Open Websites/Domains,reconnaissance
T1593.001,Social Media,reconnaissance
T1593.002,Search Engines,reconnaissance
T1593.003,Code Repositories,reconnaissance
T1594,Search Victim-Owned Websites,reconnaissance
T1595,Active Scanning,reconnaissance
T1595.001,Scanning IP Blocks,reconnaissance
T1595.002,Vulnerability Scanning,reconnaissance
T1595.003,Wordlist Scanning,reconnaissance
T1596,Search Open Technical Databases,reconnaissance
T1596.001,DNS/Passive DNS,reconnaissance
T1596.002,WHOIS,reconnaissance
T1596.003,Digital Certificates,reconnaissance
T1596.004,CDNs,reconnaissance
T1596.005,Scan Databases,reconnaissance
T1597,Search Closed Sources,reconnaissance
T1597.001,Threat Intel Vendors,reconnaissance
T1597.002,Purchase Technical Data,reconnaissance
T1598,Phishing for Information,reconnaissance
T1598.001,Spearphishing Service,reconnaissance
T1598.002,Spearphishing Attachment,reconnaissance
T1598.003,Spearphishing Link,reconnaissance
T1598.004,Spearphishing Voice,reconnaissance
T1599,Network Boundary Bridging,defense-impairment
T1599.001,Network Address Translation Traversal,defense-impairment
T1600,Weaken Encryption,defense-impairment
T1600.001,Reduce Key Space,defense-impairment
T1600.002,Disable Crypto Hardware,defense-impairment
T1601,Modify System Image,defense-impairment
T1601.001,Patch System Image,defense-impairment
T1601.002,Downgrade System Image,defense-impairment
T1602,Data from Configuration Repository,collection
T1602.001,SNMP (MIB Dump),collection
T1602.002,Network Device Configuration Dump,collection
T1606,Forge Web Credentials,credential-access
T1606.001,Web Cookies,credential-access
T1606.002,SAML Tokens,credential-access
T1608,Stage Capabilities,resource-development
T1608.001,Upload Malware,resource-development
T1608.002,Upload Tool,resource-development
T1608.003,Install Digital Certificate,resource-development
T1608.004,Drive-by Target,resource-development
T1608.005,Link Target,resource-development
T1608.006,SEO Poisoning,resource-development
T1609,Container Administration Command,execution
T1610,Deploy Container,execution
T1611,Escape to Host,privilege-escalation
T1612,Build Image on Host,stealth
T1613,Container and Resource Discovery,discovery
T1614,System Location Discovery,discovery
T1614.001,System Language Discovery,discovery
T1615,Group Policy Discovery,discovery
T1619,Cloud Storage Object Discovery,discovery
T1620,Reflective Code Loading,stealth
T1621,Multi-Factor Authentication Request Generation,credential-access
T1622,Debugger Evasion,stealth|discovery
T1647,Plist File Modification,defense-impairment
T1648,Serverless Execution,execution
T1649,Steal or Forge Authentication Certificates,credential-access
T1650,Acquire Access,resource-development
T1651,Cloud Administration Command,execution
T1652,Device Driver Discovery,discovery
T1653,Power Settings,persistence
T1654,Log Enumeration,discovery
T1656,Impersonation,stealth
T1657,Financial Theft,impact
T1659,Content Injection,initial-access|command-and-control
T1665,Hide Infrastructure,command-and-control
T1666,Modify Cloud Resource Hierarchy,defense-impairment
T1667,Email Bombing,impact
T1668,Exclusive Control,persistence
T1669,Wi-Fi Networks,initial-access
T1671,Cloud Application Integration,persistence
T1672,Email Spoofing,stealth
T1673,Virtual Machine Discovery,discovery
T1674,Input Injection,execution
T1675,ESXi Administration Command,execution
T1677,Poisoned Pipeline Execution,execution
T1678,Delay Execution,stealth
T1679,Selective Exclusion,stealth
T1680,Local Storage Discovery,discovery
T1681,Search Threat Vendor Data,reconnaissance
T1682,Query Public AI Services,reconnaissance
T1683,Generate Content,resource-development
T1683.001,Written Content,resource-development
T1683.002,Audio-Visual Content,resource-development
T1684,Social Engineering,stealth
T1684.001,Impersonation,stealth
T1684.002,Email Spoofing,stealth
T1685,Disable or Modify Tools,defense-impairment
T1685.001,Disable or Modify Windows Event Log,defense-impairment
T1685.002,Disable or Modify Cloud Log,defense-impairment
T1685.003,Modify or Spoof Tool UI,defense-impairment
T1685.004,Disable or Modify Linux Audit System Log,defense-impairment
T1685.005,Clear Windows Event Logs,defense-impairment
T1685.006,Clear Linux or Mac System Logs,defense-impairment
T1686,Disable or Modify System Firewall,defense-impairment
T1686.001,Cloud Firewall,defense-impairment
T1686.002,Network Device Firewall,defense-impairment
T1686.003,Windows Host Firewall,defense-impairment
T1687,Exploitation for Defense Impairment,defense-impairment
T1688,Safe Mode Boot,defense-impairment
T1689,Downgrade Attack,defense-impairment
T1690,Prevent Command History Logging,defense-impairment
